Date,Close,High,Low,Open,Volume
2010-01-04,13.519421577453613,13.616544850783468,13.42229953909748,13.461149342418912,47800900
2010-01-05,13.512948989868164,13.590646133145187,13.338128565034125,13.5582725292754,52357700
2010-01-06,13.467623710632324,13.551797053496529,13.383451602741902,13.474098678158324,40037400
2010-01-07,13.338129997253418,13.441727022729355,13.169784522111533,13.422302117337383,54041500
2010-01-08,13.487058639526367,13.525907238588733,13.208641003800896,13.299289381579348,48234700
2010-01-11,13.564752578735352,13.694248277700618,13.480579201182355,13.66834963189728,51086400
2010-01-12,13.344606399536133,13.532375565270996,13.19568457881127,13.512951892765996,69958400
2010-01-13,13.571227073669434,13.64892548537756,13.234537249532497,13.415831485227534,71446700
2010-01-14,13.907914161682129,13.953237707664746,13.629496682104321,13.668346494352855,150821600
2010-01-15,13.467623710632324,13.856113117375788,13.448200043028109,13.84963814984979,198078600
2010-01-19,13.629495620727539,13.707194004199957,13.499999961572055,13.532373567617448,82573500
2010-01-20,13.648919105529785,13.687767675737874,13.499998557253967,13.590645632730764,65670100
2010-01-21,13.493525505065918,13.797841612344103,13.38992847982339,13.694244587101574,73633300
2010-01-22,12.891368865966797,13.46115382118832,12.82662040719515,13.448203882439165,116302400
2010-01-25,13.156837463378906,13.32518297534813,13.04029047547912,13.105038939309472,73785600
2010-01-26,12.9496488571167,13.195691642013026,12.91727522896381,13.066195894426711,65298900
2010-01-27,13.10503101348877,13.163304472195328,12.833088617849318,12.949635535262438,74926200
2010-01-28,12.897843360900879,13.20215950046713,12.742447806549555,13.143886013213622,76974600
2010-01-29,12.56114673614502,13.098556583447417,12.49639830882485,13.033808156127247,96053900
2010-02-01,12.697128295898438,12.787775422690233,12.587056255519341,12.606479934132166,50338300
2010-02-02,12.891368865966797,12.975542232862175,12.664749877753103,12.742448275273903,63332500
2010-02-03,12.844378471374512,12.97491002397691,12.707318909561026,12.909644870102218,45582300
2010-02-04,12.413617134094238,12.779107081423259,12.367931046284678,12.77258031961439,90931100
2010-02-05,12.707315444946289,12.779108588457865,12.400565072869634,12.465831453802641,88711700
2010-02-08,12.628999710083008,12.916171105819588,12.596365889628304,12.713845153559312,62563200
2010-02-09,12.824799537658691,12.981438164296215,12.68774120617079,12.818272772608818,69454100
2010-02-10,12.850903511047363,12.968382764020058,12.69426492203472,12.785637121078883,56250600
2010-02-11,13.092387199401855,13.183760640952341,12.759529739478145,12.811742601141502,58837300
2010-02-12,13.33387565612793,13.497041043511084,12.916172662780049,13.027123931141604,91108900
2010-02-16,13.52314281463623,13.607989487823353,13.412190334597279,13.457877675080281,69083400
2010-02-17,13.483983993530273,13.614516767300223,13.39913856197676,13.614516767300223,47296700
2010-02-18,13.601460456848145,13.607987218685947,13.412188098109457,13.47092770979715,42613600
2010-02-19,13.588409423828125,13.686308379634262,13.431770845567751,13.523143038339779,40760000
2010-02-22,13.621044158935547,13.679782540504085,13.477457852193114,13.673257021882018,38730600
2010-02-23,13.307765007019043,13.673256272464995,13.242499865552704,13.601463123028687,62245300
2010-02-24,13.510088920593262,13.581880814503727,13.379556167360898,13.392609691654654,51070100
2010-02-25,13.464404106140137,13.483984396246255,13.196813032287311,13.294713237965079,48789400
2010-02-26,13.39913558959961,13.497034525783413,13.333869217192904,13.44482167682855,47795300
2010-03-01,13.621044158935547,13.666730258407103,13.457878806621215,13.497038142617857,51203300
2010-03-02,13.510088920593262,13.764626420058518,13.431769019683324,13.699360043442336,59399000
2010-03-03,13.392616271972656,13.58841425317184,13.340403393995993,13.549254905902643,49909900
2010-03-04,13.39913558959961,13.451348438554472,13.222916757557256,13.44482167682855,62750100
2010-03-05,13.568831443786621,13.601464016663796,13.346926462633819,13.483984762541388,45879700
2010-03-08,13.55577564239502,13.627567539650602,13.510089550090745,13.581881447346326,35742100
2010-03-09,13.666733741760254,13.836425900800341,13.48398805244328,13.49704158272017,83168700
2010-03-10,13.829898834228516,13.895165239337272,13.647153148894624,13.673260208879382,58435600
2010-03-11,13.86905288696289,13.882106411974084,13.699360796375379,13.797259744253996,53778700
2010-03-12,13.882108688354492,13.947375079260137,13.823369061024698,13.90821449780503,39584500
2010-03-15,13.81684684753418,13.914745843705754,13.738526903684955,13.810320081808971,34378000
2010-03-16,14.365079879760742,14.384660173065095,13.836424409073498,13.856003457524823,123060900
2010-03-17,14.515191078186035,14.586984238905558,14.299812840880444,14.397711813318809,77805900
2010-03-18,14.48908519744873,14.586984169420756,14.365079169029249,14.482558433336866,54458500
2010-03-19,14.35202407836914,14.613088390158039,14.23454482685093,14.521716192245131,77998500
2010-03-22,14.515191078186035,14.554350418190788,14.254126736732738,14.273707029161601,47405700
2010-03-23,14.795832633972168,14.848045491400567,14.593507967043712,14.613087010546414,64740900
2010-03-24,14.639190673828125,14.795829209863419,14.567397544658956,14.704457041722604,54729000
2010-03-25,14.58698844909668,14.834999333846577,14.560881384989672,14.808893514592905,52428700
2010-03-26,14.515191078186035,14.743622843777537,14.404238577461763,14.639197107196217,45700500
2010-03-29,14.573927879333496,14.678353595627966,14.528241784061258,14.632667500355728,34467900
2010-03-30,14.580458641052246,14.71099144464669,14.476032896117921,14.619617984189349,37886300
2010-03-31,14.547826766967773,14.684885097010365,14.489087126991482,14.567405817057782,45983800
2010-04-01,14.613094329833984,14.776259746629284,14.48908950936396,14.619621095888197,45491000
2010-04-05,14.743618965148926,14.782778294851965,14.580453639058168,14.671825823316146,34942900
2010-04-06,14.619616508483887,14.671829375680678,14.52824430210274,14.639196800502539,47056500
2010-04-07,14.652253150939941,14.802365017439751,14.521720335377298,14.63919962041304,62539800
2010-04-08,14.560881614685059,14.626148031128809,14.46298261244611,14.606567732739679,40824500
